Epoch [0], Loss: 0.3889, Val Loss: 0.3149
Epoch [1], Loss: 0.3873, Val Loss: 0.3143
Epoch [2], Loss: 0.3868, Val Loss: 0.3141
Epoch [3], Loss: 0.3864, Val Loss: 0.3133
Epoch [4], Loss: 0.3850, Val Loss: 0.3111
Epoch [5], Loss: 0.3817, Val Loss: 0.3068
Epoch [6], Loss: 0.3755, Val Loss: 0.2995
Epoch [7], Loss: 0.3662, Val Loss: 0.2879
Epoch [8], Loss: 0.3504, Val Loss: 0.2708
Epoch [9], Loss: 0.3274, Val Loss: 0.2493
Epoch [10], Loss: 0.3000, Val Loss: 0.2252
Epoch [11], Loss: 0.2711, Val Loss: 0.1956
Epoch [12], Loss: 0.2290, Val Loss: 0.1525
Epoch [13], Loss: 0.1732, Val Loss: 0.0996
Epoch [14], Loss: 0.1415, Val Loss: 0.1276
Epoch [15], Loss: 0.1316, Val Loss: 0.0857
Epoch [16], Loss: 0.1065, Val Loss: 0.0860
Epoch [17], Loss: 0.1086, Val Loss: 0.0849
Epoch [18], Loss: 0.1051, Val Loss: 0.0774
Epoch [19], Loss: 0.0950, Val Loss: 0.0685
Epoch [20], Loss: 0.0843, Val Loss: 0.0609
Epoch [21], Loss: 0.0748, Val Loss: 0.0568
Epoch [22], Loss: 0.0694, Val Loss: 0.0573
Epoch [23], Loss: 0.0685, Val Loss: 0.0557
Epoch [24], Loss: 0.0647, Val Loss: 0.0504
Epoch [25], Loss: 0.0592, Val Loss: 0.0469
Epoch [26], Loss: 0.0565, Val Loss: 0.0457
Epoch [27], Loss: 0.0557, Val Loss: 0.0452
Epoch [28], Loss: 0.0546, Val Loss: 0.0448
Epoch [29], Loss: 0.0536, Val Loss: 0.0440
Epoch [30], Loss: 0.0520, Val Loss: 0.0434
Epoch [31], Loss: 0.0511, Val Loss: 0.0436
Epoch [32], Loss: 0.0508, Val Loss: 0.0439
Epoch [33], Loss: 0.0503, Val Loss: 0.0435
Epoch [34], Loss: 0.0497, Val Loss: 0.0425
Epoch [35], Loss: 0.0489, Val Loss: 0.0418
Epoch [36], Loss: 0.0484, Val Loss: 0.0414
Epoch [37], Loss: 0.0480, Val Loss: 0.0409
Epoch [38], Loss: 0.0476, Val Loss: 0.0405
Epoch [39], Loss: 0.0472, Val Loss: 0.0402
Epoch [40], Loss: 0.0467, Val Loss: 0.0400
Epoch [41], Loss: 0.0463, Val Loss: 0.0399
Epoch [42], Loss: 0.0461, Val Loss: 0.0396
Epoch [43], Loss: 0.0458, Val Loss: 0.0392
Epoch [44], Loss: 0.0455, Val Loss: 0.0389
Epoch [45], Loss: 0.0453, Val Loss: 0.0386
Epoch [46], Loss: 0.0451, Val Loss: 0.0383
Epoch [47], Loss: 0.0449, Val Loss: 0.0381
Epoch [48], Loss: 0.0446, Val Loss: 0.0380
Epoch [49], Loss: 0.0444, Val Loss: 0.0379
Epoch [50], Loss: 0.0443, Val Loss: 0.0378
Epoch [51], Loss: 0.0441, Val Loss: 0.0375
Epoch [52], Loss: 0.0439, Val Loss: 0.0373
Epoch [53], Loss: 0.0437, Val Loss: 0.0371
Epoch [54], Loss: 0.0435, Val Loss: 0.0369
Epoch [55], Loss: 0.0434, Val Loss: 0.0368
Epoch [56], Loss: 0.0432, Val Loss: 0.0367
Epoch [57], Loss: 0.0430, Val Loss: 0.0366
Epoch [58], Loss: 0.0429, Val Loss: 0.0365
Epoch [59], Loss: 0.0427, Val Loss: 0.0363
Epoch [60], Loss: 0.0426, Val Loss: 0.0362
Epoch [61], Loss: 0.0424, Val Loss: 0.0361
Epoch [62], Loss: 0.0422, Val Loss: 0.0359
Epoch [63], Loss: 0.0421, Val Loss: 0.0358
Epoch [64], Loss: 0.0420, Val Loss: 0.0356
Epoch [65], Loss: 0.0418, Val Loss: 0.0355
Epoch [66], Loss: 0.0417, Val Loss: 0.0354
Epoch [67], Loss: 0.0416, Val Loss: 0.0353
Epoch [68], Loss: 0.0414, Val Loss: 0.0351
Epoch [69], Loss: 0.0413, Val Loss: 0.0350
Epoch [70], Loss: 0.0412, Val Loss: 0.0349
Epoch [71], Loss: 0.0411, Val Loss: 0.0348
Epoch [72], Loss: 0.0410, Val Loss: 0.0347
Epoch [73], Loss: 0.0408, Val Loss: 0.0345
Epoch [74], Loss: 0.0407, Val Loss: 0.0345
Epoch [75], Loss: 0.0406, Val Loss: 0.0343
Epoch [76], Loss: 0.0405, Val Loss: 0.0342
Epoch [77], Loss: 0.0404, Val Loss: 0.0341
Epoch [78], Loss: 0.0403, Val Loss: 0.0341
Epoch [79], Loss: 0.0402, Val Loss: 0.0340
Epoch [80], Loss: 0.0401, Val Loss: 0.0338
Epoch [81], Loss: 0.0401, Val Loss: 0.0337
Epoch [82], Loss: 0.0400, Val Loss: 0.0337
Epoch [83], Loss: 0.0399, Val Loss: 0.0336
Epoch [84], Loss: 0.0398, Val Loss: 0.0336
Epoch [85], Loss: 0.0397, Val Loss: 0.0334
Epoch [86], Loss: 0.0396, Val Loss: 0.0333
Epoch [87], Loss: 0.0395, Val Loss: 0.0332
Epoch [88], Loss: 0.0395, Val Loss: 0.0332
Epoch [89], Loss: 0.0394, Val Loss: 0.0331
Epoch [90], Loss: 0.0393, Val Loss: 0.0331
Epoch [91], Loss: 0.0392, Val Loss: 0.0330
Epoch [92], Loss: 0.0392, Val Loss: 0.0330
Epoch [93], Loss: 0.0391, Val Loss: 0.0329
Epoch [94], Loss: 0.0390, Val Loss: 0.0328
Epoch [95], Loss: 0.0390, Val Loss: 0.0328
