Epoch [0], Loss: 0.2441, Val Loss: 0.2905
Epoch [1], Loss: 0.2395, Val Loss: 0.2856
Epoch [2], Loss: 0.2357, Val Loss: 0.2812
Epoch [3], Loss: 0.2323, Val Loss: 0.2771
Epoch [4], Loss: 0.2291, Val Loss: 0.2731
Epoch [5], Loss: 0.2260, Val Loss: 0.2690
Epoch [6], Loss: 0.2225, Val Loss: 0.2649
Epoch [7], Loss: 0.2191, Val Loss: 0.2605
Epoch [8], Loss: 0.2155, Val Loss: 0.2556
Epoch [9], Loss: 0.2115, Val Loss: 0.2500
Epoch [10], Loss: 0.2066, Val Loss: 0.2436
Epoch [11], Loss: 0.2012, Val Loss: 0.2360
Epoch [12], Loss: 0.1946, Val Loss: 0.2264
Epoch [13], Loss: 0.1859, Val Loss: 0.2142
Epoch [14], Loss: 0.1746, Val Loss: 0.1978
Epoch [15], Loss: 0.1592, Val Loss: 0.1750
Epoch [16], Loss: 0.1375, Val Loss: 0.1445
Epoch [17], Loss: 0.1129, Val Loss: 0.1137
Epoch [18], Loss: 0.0935, Val Loss: 0.0941
Epoch [19], Loss: 0.0778, Val Loss: 0.0719
Epoch [20], Loss: 0.0610, Val Loss: 0.0614
Epoch [21], Loss: 0.0531, Val Loss: 0.0530
Epoch [22], Loss: 0.0473, Val Loss: 0.0474
Epoch [23], Loss: 0.0449, Val Loss: 0.0456
Epoch [24], Loss: 0.0437, Val Loss: 0.0450
Epoch [25], Loss: 0.0426, Val Loss: 0.0439
Epoch [26], Loss: 0.0424, Val Loss: 0.0440
Epoch [27], Loss: 0.0421, Val Loss: 0.0436
Epoch [28], Loss: 0.0420, Val Loss: 0.0430
Epoch [29], Loss: 0.0417, Val Loss: 0.0434
Epoch [30], Loss: 0.0414, Val Loss: 0.0426
Epoch [31], Loss: 0.0413, Val Loss: 0.0426
Epoch [32], Loss: 0.0411, Val Loss: 0.0422
Epoch [33], Loss: 0.0409, Val Loss: 0.0418
Epoch [34], Loss: 0.0407, Val Loss: 0.0419
Epoch [35], Loss: 0.0406, Val Loss: 0.0414
Epoch [36], Loss: 0.0404, Val Loss: 0.0413
Epoch [37], Loss: 0.0402, Val Loss: 0.0412
Epoch [38], Loss: 0.0400, Val Loss: 0.0407
Epoch [39], Loss: 0.0399, Val Loss: 0.0405
Epoch [40], Loss: 0.0398, Val Loss: 0.0405
Epoch [41], Loss: 0.0396, Val Loss: 0.0400
Epoch [42], Loss: 0.0395, Val Loss: 0.0402
Epoch [43], Loss: 0.0393, Val Loss: 0.0397
Epoch [44], Loss: 0.0392, Val Loss: 0.0396
Epoch [45], Loss: 0.0390, Val Loss: 0.0394
Epoch [46], Loss: 0.0389, Val Loss: 0.0393
Epoch [47], Loss: 0.0388, Val Loss: 0.0390
Epoch [48], Loss: 0.0387, Val Loss: 0.0388
Epoch [49], Loss: 0.0385, Val Loss: 0.0388
Epoch [50], Loss: 0.0384, Val Loss: 0.0384
Epoch [51], Loss: 0.0383, Val Loss: 0.0384
Epoch [52], Loss: 0.0382, Val Loss: 0.0382
Epoch [53], Loss: 0.0381, Val Loss: 0.0381
Epoch [54], Loss: 0.0380, Val Loss: 0.0379
Epoch [55], Loss: 0.0378, Val Loss: 0.0377
Epoch [56], Loss: 0.0378, Val Loss: 0.0377
Epoch [57], Loss: 0.0377, Val Loss: 0.0375
Epoch [58], Loss: 0.0376, Val Loss: 0.0375
Epoch [59], Loss: 0.0375, Val Loss: 0.0372
Epoch [60], Loss: 0.0374, Val Loss: 0.0372
Epoch [61], Loss: 0.0373, Val Loss: 0.0371
Epoch [62], Loss: 0.0372, Val Loss: 0.0370
Epoch [63], Loss: 0.0371, Val Loss: 0.0369
Epoch [64], Loss: 0.0371, Val Loss: 0.0367
Epoch [65], Loss: 0.0370, Val Loss: 0.0367
Epoch [66], Loss: 0.0369, Val Loss: 0.0366
Epoch [67], Loss: 0.0369, Val Loss: 0.0365
Epoch [68], Loss: 0.0368, Val Loss: 0.0364
Epoch [69], Loss: 0.0367, Val Loss: 0.0363
Epoch [70], Loss: 0.0367, Val Loss: 0.0362
Epoch [71], Loss: 0.0366, Val Loss: 0.0362
Epoch [72], Loss: 0.0366, Val Loss: 0.0361
Epoch [73], Loss: 0.0365, Val Loss: 0.0360
Epoch [74], Loss: 0.0365, Val Loss: 0.0360
Epoch [75], Loss: 0.0365, Val Loss: 0.0360
Epoch [76], Loss: 0.0364, Val Loss: 0.0359
Epoch [77], Loss: 0.0364, Val Loss: 0.0359
Epoch [78], Loss: 0.0363, Val Loss: 0.0358
Epoch [79], Loss: 0.0362, Val Loss: 0.0359
Epoch [80], Loss: 0.0362, Val Loss: 0.0357
Epoch [81], Loss: 0.0362, Val Loss: 0.0357
Epoch [82], Loss: 0.0361, Val Loss: 0.0356
Epoch [83], Loss: 0.0361, Val Loss: 0.0356
Epoch [84], Loss: 0.0361, Val Loss: 0.0356
Epoch [85], Loss: 0.0360, Val Loss: 0.0356
Epoch [86], Loss: 0.0360, Val Loss: 0.0355
Epoch [87], Loss: 0.0360, Val Loss: 0.0355
Epoch [88], Loss: 0.0359, Val Loss: 0.0354
Epoch [89], Loss: 0.0359, Val Loss: 0.0354
Epoch [90], Loss: 0.0359, Val Loss: 0.0354
Epoch [91], Loss: 0.0359, Val Loss: 0.0354
Epoch [92], Loss: 0.0359, Val Loss: 0.0354
Epoch [93], Loss: 0.0359, Val Loss: 0.0353
Epoch [94], Loss: 0.0358, Val Loss: 0.0353
Epoch [95], Loss: 0.0358, Val Loss: 0.0353
